id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
"bike-1787896319819","2022 BMW R18 Bagger","2022 BMW R18 Bagger – The Ultimate Highway Cruiser Power without compromise. Style without equal. This magnificent 2022 BMW R18 Bagger arrives as a fresh 2024 import with only 2,000 KMS on the clock. Built around BMW's massive 1802cc Big Boxer engine, this machine blends iconic heritage design with modern long-distance touring luxury. 🔥 Key Highlights & Features: ✅ 2022 Model ✅ Fresh Import (2024) ✅ Low Mileage – 2,000 KMS Only ✅ 1802cc Opposed-Twin ""Big Boxer"" Engine ✅ Signature Bagger Front Fairing & Windscreen ✅ Integrated Color-Matched Bagger Panniers ✅ Full LED Headlight Setup ✅ Premium Alloy Wheels ✅ Peak Torque: ~158 Nm ✅ Exceptional Condition Throughout Powered by BMW’s largest-capacity boxer engine ever, the R18 Bagger delivers immense low-end torque, effortless cruising power, and unforgettable road presence. Designed for long open stretches and pure riding pleasure. ⚡ Heritage Styling. Massive Torque. Ready for the Road.","in stock","used","","https://torquemotorsexclusive.com/bike/2022-bmw-r18-bagger","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1787896361/ipxhppsyrtaidd6nj5oe.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1787896368/nwoklzdzelkpefk6diqa.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1787896369/ftceqzcxzo8uylbzq8rr.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1787896375/vai4xyrxjdf9tqpulmwl.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1787896377/rsoskzmtbbsg86o4yxlm.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1787896377/fwk1rx2ity6jpwg7nvqm.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1787896378/jbo20sgdj2eqevmizah0.jpg","BMW","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > BMW","2022","BMW","2024","Big bore 1000cc+",""
"bike-1786512556213","2017 KTM RC 390","2023 KTM RC 390 – Precision Meets Performance Sharp. Lightweight. Track-inspired. This stunning 2023 KTM RC 390 arrives as a fresh 2025 import with only 5,000 KM on the clock. Loaded with advanced electronics and premium features, this one-of-one machine is built for riders who demand race-ready performance with everyday usability. 🔥 Highlights & Features: ✅ 2023 Model ✅ Fresh Import (2025) ✅ Only 5,000 KM Driven ✅ 390cc Engine ✅ Dual-Channel ABS ✅ LED Headlights & DRLs ✅ Full-Color TFT Display ✅ Track Riding Modes ✅ Traction Control ✅ Front & Rear Height-Adjustable Suspension ✅ 1 of 1 ✅ Exceptional Condition With aggressive styling, razor-sharp handling, and KTM's race-proven engineering, the RC 390 delivers an exhilarating riding experience whether you're carving corners, hitting the track, or enjoying the open road. Built to stand apart. Engineered to perform.","in stock","used","","https://torquemotorsexclusive.com/bike/2017-ktm-rc-390","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512320/riygzu4mbvhwplb1d08u.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512329/whiqobmpeklrk7aoqrra.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512330/l4naxwazq3iahxmhhfja.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512331/hwm0biv7vtefnmotd6dn.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512333/xfx3rtpg54i3ho2w7l9s.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512333/tnzf5ey6wyg948pzr2qv.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512334/ofte4wnr9jco8ezgpqzy.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512335/sjh4qnkzg5ucslfk8efm.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786512336/xyixyzynk4yqnj1gtcmx.jpg","KTM","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > KTM","2017","KTM","2025","Entry 250-400cc",""
"bike-1786362984559","2022 Honda CBR 1000-RR Anniversary Edition","2022 Honda CBR1000RR Anniversary Edition – A Celebration of Honda Racing Heritage Crafted to honor Honda's legendary racing legacy, the CBR1000RR Anniversary Edition is more than a superbike—it's a collector's dream. Freshly imported in 2025 and driven only 5,892 KM, this exceptional machine combines race-proven performance with premium upgrades, making it one of the finest examples available. 🔥 Premium Highlights: ✅ Import 2025 ✅ Only 5,892 KM Driven ✅ Carbon Front & Rear Hugger ✅ Additional Carbon Fiber Components ✅ GB Racing Engine Guards ✅ Akrapovič Exhaust System ✅ Exceptional Condition From its iconic Anniversary Edition livery to the unmistakable sound of the Akrapovič exhaust, every detail reflects Honda's pursuit of performance and perfection. Built for those who appreciate heritage, exclusivity, and world-class engineering. ⚡ Low Mileage. Premium Upgrades. Anniversary Edition.","out of stock","used","","https://torquemotorsexclusive.com/bike/2022-honda-cbr-1000-rr-anniversary-edition","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362472/juwsereihjb4cb7lefdc.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362474/o8fhkqp5ho1eeclsbnsd.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362474/qwqkpawkhz3xcmlzrmkp.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362476/ec7bcsa1afwhaac1cwzf.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362477/l3gyqhmkzrtx2emhok2w.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362478/xagtea1oexxyhzbxhyow.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362478/vw5d1jg3laj7iorjme9l.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362479/g6cijmhgy6jvizl1t139.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362495/v9840lotc809h9rjoafh.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786362502/sbnd63wnunw2xjdxccja.jpg","Honda","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > Honda","2022","Honda","2025","Litre class",""
"bike-1786361264802","2020 Honda CBR 1000 RR-R","2020 Honda CBR1000RR-R SP Edition – Race-Bred Perfection Built to perform. Engineered to dominate. This stunning 2020 Honda CBR1000RR-R SP Edition arrives as a fresh 2025 import with only 5030 KM on the clock. Equipped with premium upgrades and race-inspired enhancements, this machine is the perfect blend of cutting-edge performance and aggressive styling. 🔥 Premium Upgrades & Features: ✅ MANCALAN Carbon Winglets ✅ Crash Guards ✅ GB Racing Engine Guards ✅ AGRAS Foot Pegs ✅ AGRAS Side Stand Cover ✅ Shorty Tail Tidy ✅ Tank Guards ✅ Daytona Mobile Holder with USB ✅ Front & Rear Cameras ✅ Akrapovič Exhaust System From the unmistakable sound of the Akrapovič exhaust to the aerodynamic advantage of the carbon winglets, every upgrade has been selected to enhance both performance and presence. Powered by Honda's championship-winning engineering, the CBR1000RR-R SP delivers breathtaking acceleration, razor-sharp handling, and a riding experience worthy of the world's finest super bikes. ⚡ Low Mileage. Fully Loaded. Ready to Rule the Road.","out of stock","used","","https://torquemotorsexclusive.com/bike/2020-honda-cbr-1000-rr-r","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360791/kamjp8fk9hjaomoq8nwn.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360792/t8q5be8hgnk2galmuglx.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360793/cdmwol494brsblhoao4x.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360793/m8mm45zja5zf1xi0txtt.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360794/qswm8zwnxqe6ibljpzrg.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360795/ccezdbgco4ynrqfshmjb.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360795/awkkrpbw0ovlur348m7n.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360796/imtg518r2ehqkeh2zeg5.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360797/o1znrmuodmfeklsxg5gy.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360797/djqnz5qis6uyj28tdim9.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786360798/xw9htfm8vfparur3txxo.jpg","Honda","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > Honda","2020","Honda","2025","Litre class",""
"bike-1786336073867","2015 Yamaha YZF-R3","2015 Yamaha YZF-R3 – Pure Super sport Performance. Designed for riders who crave track-tested agility and everyday usability, the 2015 Yamaha YZF-R3 combines aggressive R-series styling, high-revving performance, and razor-sharp handling. Imported in 2018, this machine is perfectly built to slice through city traffic and conquer twisty roads. 🔥 Highlights & Features: ✅ 2015 Model Year ✅ Imported in 2018 ✅ Mileage: 24,000 KMs Driven ✅ 321cc Parallel-Twin Liquid-Cooled Engine ✅ ~42 HP @ 13,500 RPM ✅ ~29.6 Nm Torque 11,000 RPM ✅ Non-ABS Variant ✅ Top Speed Approx. 180 KM/H ✅ Lightweight Chassis (~169 kg Wet) ✅ Performance Aftermarket Muffler ✅ Frame Sliders Installed ✅ Striking Custom/Special Edition Livery with Matching Rim Stripes The Yamaha YZF-R3 is engineered to deliver an authentic sport bike feel. With its responsive power delivery, lightweight frame, and iconic styling, every ride offers an exhilarating rush of adrenaline. ⚡ Power. Precision. Legend. Experience the thrill of the lightweight super sport class with a bike built to perform.","in stock","used","","https://torquemotorsexclusive.com/bike/2015-yamaha-yzf-r3","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335902/fny9j9bdnfpa0txtvthl.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335910/oc0mhs5pq9b1cqis2pl9.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335911/rpdo3odp6atlxgsmaiuy.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335912/fkanganwwl9nzjdgmr8w.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335914/wovuq7qquzlh7ysswgve.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335914/rujjz0uhwcau5hubdhh4.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335915/h5adlykltkttmz1rd6dc.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335916/tvfzhfeck8wluiellkaf.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335916/yvhomqyzcsevvmybihqz.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786335917/vdyasasdxeuolc1u6eyy.jpg","Yamaha","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > Yamaha","2015","Yamaha","2018","Entry 250-400cc","featured"
"bike-1786335321679","2011 Harley Davidson Sportster 883","2011 Harley-Davidson Sportster 883 – Dark Custom Bobber Style. Built for riders who command respect on the road, this 2011 Harley-Davidson Sportster 883 blends raw V-Twin muscle with a sleek, aggressive custom bobber aesthetic. Imported in October 2015 and Karachi Registered, this head-turning machine is ready to rule the streets. 🔥 Highlights & Features: ✅ 2011 Model Year ✅ Imported: October 2015 ✅ Karachi Registered ✅ Low Mileage: Only 13,600 KMs Driven ✅ 883cc V-Twin (Evolution Engine) ✅ ~45 HP @ 5,750 RPM ✅ ~66 Nm Torque @ 3,750 RPM ✅ Top Speed Approx. ~160 KM/H ✅ Customized Fuel Tank ✅ Bobber-Style Solo Seat ✅ Custom Black-Out Engine Finish ✅ Mesh Headlight Grill ✅ Custom Performance Exhaust The Harley-Davidson Sportster 883 isn't just a motorcycle—it's a statement. With its iconic V-Twin rumble, custom bobber styling, and stealthy all-black look, every twist of the throttle delivers pure American rumble and attitude. ⚡ Power. Precision. Legend. Own a custom machine that stands out from the crowd.","in stock","used","","https://torquemotorsexclusive.com/bike/2011-harley-davidson-sportster-883","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334919/nqea1ue0kumdkbriwin5.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334938/x7ntlxydbvxw5ft6dpfz.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334942/gwakgmmx3n08naznwinc.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334947/psrwyw9mv2utbsqlkdqm.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334950/ky6a9jayrczd6ihrpetj.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334954/vxaotxhxnljlk3hzuegt.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334956/bh5fsybxkfpd23al55m1.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334965/x0uskzcktyvn3b1momvb.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786334969/sfo0pjileyzxjsnqjibr.jpg","Harley-Davidson","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > Harley-Davidson","2011","Harley-Davidson","2015","Litre class",""
"bike-1786272716670","2019 Harley Davidson Fat Boy 114","2019 Harley-Davidson Fat Boy 114 – American Muscle on Two Wheels Bold. Iconic. Unmistakable. This stunning 2019 Harley-Davidson Fat Boy 114, imported in 2021 and driven only 3,300 KM, is a true statement machine built for riders who appreciate power, presence, and heritage. Powered by the legendary Milwaukee-Eight 114 engine, the Fat Boy delivers effortless torque, premium comfort, and the unmistakable character that has made Harley-Davidson an icon around the world. 🔥 Highlights: ✅ Model 2019 ✅ Imported in 2021 ✅ Only 3,300 KM Driven ✅ Immaculate Condition ✅ Well-Maintained & Ready to Ride From its muscular stance to its commanding road presence, every detail of this Fat Boy reflects premium craftsmanship and timeless design. ⚡ Low Mileage. Exceptional Condition. A True Cruiser Legend.","out of stock","used","","https://torquemotorsexclusive.com/bike/2019-harley-davidson-fat-boy-114","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272508/qiph1wh7havhk1jcqehv.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272514/ep5nhhkqwf0lg4el4b74.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272516/cvyl8phgelgvjkdw843j.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272518/pamsaqk737etq87p7lqd.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272519/zuqbctfjdcatrms3awod.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272521/yr5yrp3fpfgqhcz49b15.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272522/hglqqjbjxk6aqft963tm.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272523/l6ylz9ueyteyhkh0jxrd.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786272527/hecwlavatxlkxnqqxdrk.jpg","Harley-Davidson","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > Harley-Davidson","2019","Harley-Davidson","2021","Big bore 1000cc+",""
"bike-1786266103385","2013 Harley Davidson Sportster Bobber","2013 Harley-Davidson Seventy-Two – Classic Style. Pure Power. 2013 Harley-Davidson Seventy-Two combines aggressive styling, modern performance, and unmatched custom presence. Imported from the USA in 2018 and registered in Punjab in 2019, this ultra-low-mileage machine is built to dominate city streets and open highways alike. 🔥 Highlights & Features: ✅ 2013 Model Year ✅ USA Import (2018) ✅ Punjab Registered (2019) ✅ Ultra-Low Mileage – Only 1,896 KMs Driven ✅ 1200cc Air-Cooled Evolution V-Twin Engine ✅ 67 HP Performance ✅ Top Speed Approx. 180 KM/H ✅ Customized USA Paint ✅ Vance & Hines Exhaust System ✅ Screamin' Eagle Air Intake ✅ Mustang Studded Seat ✅ Classic White Wall Tyres ✅ High Ape Hanger Handlebars The Harley-Davidson Seventy-Two is engineered for riders who want more than just a motorcycle. Its powerful 1200cc V-Twin engine, iconic peanut tank, and head-turning custom finish deliver an exhilarating ride every time you twist the throttle. ⚡ Power. Precision. Legend. Experience the freedom of riding with a machine that commands respect on every road.","out of stock","used","","https://torquemotorsexclusive.com/bike/2013-harley-davidson-sportster-bobber","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266013/gg5tsmdsvpoprg9ddn2k.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266020/jl2knutonjv52ia0aq1k.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266020/sztmiqxk025cjta7d0y6.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266021/w21iz7wduhezrhoqzvog.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266022/culpumblyakkoo7zcge5.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266023/zqwchkbiohgzdyizhbfh.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266027/mdrdpgxoyp6vcaakjjbk.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266028/viapaqnynnitgbx297qf.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266029/bjph88jyvot4ejnr4pgw.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786266030/nr3c6wn775rsek0tanyt.jpg","Harley-Davidson","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > Harley-Davidson","2013","Harley-Davidson","2018","Big bore 1000cc+",""
"bike-1786264881208","2013 Harley Davidson Sportster 1200 72","2013 Harley-Davidson Sportster 1200 Seventy-Two – One of One Classic American muscle with a custom personality. This stunning 2013 Harley-Davidson Sportster 1200 Seventy-Two was imported in 2018, registered in Punjab the same year, and transformed into a truly one-of-a-kind cruiser with premium upgrades and custom detailing. 🔥 Premium Upgrades & Features: ✅ Imported in 2018 ✅ Punjab Registered ✅ Vance & Hines Exhaust System ✅ Screamin' Eagle Performance Air Intake ✅ Mustang Studded Solo Seat ✅ Custom Dark Green Glitter Paint Finish ✅ White Wall Tires ✅ One-of-a-Kind Build ✅ Exceptional Condition Powered by Harley-Davidson's legendary Evolution V-Twin engine, this Sportster 1200 Seventy-Two delivers the perfect combination of classic styling, unmistakable sound, and timeless American character. Every detail has been thoughtfully customized to create a motorcycle that stands apart from the crowd. ⚡ Custom Built. Premium Upgrades. One of One.","in stock","used","","https://torquemotorsexclusive.com/bike/2013-harley-davidson-sportster-1200-72","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264309/cyhv6awlcgnlpwd6xb8z.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264315/gsgh7ronbd8hlxsixfb5.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264316/uinj5pxf5l1g3lenzmai.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264317/ruy7diwxaeaelwwnx7vm.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264318/pivfv9voryilbd7osga3.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264319/zpvpgn4ivl6djmvfveje.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264320/ypa1swggs5yv44atjnqt.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264322/tpzkr3knbtxjntj8asvq.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786264323/yp4lgxcf3jig1it5xm1f.jpg","Harley-Davidson","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > Harley-Davidson","2013","Harley-Davidson","2018","Big bore 1000cc+",""
"bike-1786258451517","2019 Ducati Panigale V4S · 5,300 km","2021 Ducati Panigale V4 S – Italian Perfection, Fully Unleashed Engineered for the racetrack. Refined for the road. This stunning 2021 Ducati Panigale V4 S arrives as a fresh 2025 import with only 5,300 KM on the clock. Professionally tuned and equipped with an extensive list of premium performance upgrades, this is one of the finest Panigale V4 S examples available. Premium Upgrades & Features: Import (2025) Only 5,300 KM Driven Woolich ECU Tune with Custom Mapping Full Akrapovič Titanium Undertail Exhaust System Brand New Pirelli Supercorsa Tyres Zero Gravity Double Bubble Smoke Visor Front Axle Sliders & Fork Protectors Rear Sprocket Flange (Red & Black) Gold Rear Sprocket Nuts Titanium Gold Brake Caliper Bolts Front Brake Caliper Spacer Kit Oil Filler Cap Upgrade Pillion Peg & Tank Grille Guard Ducati Carbon Fiber Heel Guards Ducati Carbon Fiber Brake Cooling Ducts Rizoma Mirror Delete Kit Ducati Tank Pad & Side Tank Grips Ducati Brake & Clutch Lever Guards Clear Clutch Cover Kit Ducati Wheel Hub Sticker Kit Exceptional Condition Powered by Ducati's MotoGP-derived V4 engine, the Panigale V4 S delivers breathtaking acceleration, razor-sharp handling, and an unforgettable soundtrack. Combined with premium carbon fiber components, race-inspired upgrades, and a professionally tuned ECU, this superbike is built for riders who demand nothing less than perfection. Low Mileage. Fully Loaded. Track-Bred Performance.","in stock","used","","https://torquemotorsexclusive.com/bike/2019-ducati-panigale-v4s","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257822/rae3if0tsmd99nqtm9oe.jpg","https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257830/bpue2gcr5av45bsetkfs.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257852/xkop1orxjnfcmtaz7llk.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257854/nptm2fjzllmnb6bahpeu.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257856/cxnxf5fui6ygrv5qubkt.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257857/jcfyfsuvne9aiuhzxnhr.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257860/h5laembc1uycjgqej7dc.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257861/jeej8zbd6wyczbhycvwl.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257863/ycfzdtjjrt4wlutwzmd6.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257865/ufwi3kf6fz8jtg5lacgi.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257867/ptpfctkzhl7zjbb2tlcc.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257869/exghzwnxc3ggahwst43y.jpg,https://res.cloudinary.com/szj0edrf/image/upload/q_auto,f_auto,w_1200/v1786257871/vdlxcxu3wycedjirsdlf.jpg","Ducati","Vehicles & Parts > Vehicles > Motor Vehicles > Motorcycles & Scooters","Motorcycles > Ducati","2019","Ducati","2025","Big bore 1000cc+","featured"
